,pid,weekofstudy,loyalty,regularity,duration,duration_mean,duration_std,duration_min,duration_max,betweenlaunch_duration_mean,betweenlaunch_duration_std
0,1000,6,173,7,2664,15.0,25.0,0,154,3448.0,5518.0
1,1000,7,145,7,1544,11.0,20.0,0,125,4114.0,7232.0
2,1000,5,137,7,2347,17.0,30.0,0,189,4368.0,7398.0
3,1000,4,86,7,1160,13.0,29.0,0,186,6894.0,10620.0
4,1000,3,55,7,1234,22.0,25.0,0,110,10886.0,23881.0
5,1000,2,20,5,489,24.0,38.0,0,145,22405.0,46088.0
6,1000,1,15,2,296,20.0,25.0,0,87,6459.0,12782.0
7,1005,1,9,2,328,36.0,48.0,0,125,11122.0,16323.0
8,1005,2,8,2,340,42.0,70.0,0,190,19174.0,20416.0
9,1005,3,2,2,22,11.0,16.0,0,22,123480.0,-1.0
10,1013,2,13,5,775,60.0,58.0,0,159,23075.0,34983.0
11,1013,3,8,2,482,60.0,59.0,0,169,12231.0,18190.0
12,1013,4,1,1,137,137.0,0.0,137,137,-1.0,-1.0
13,1014,4,89,7,3321,37.0,44.0,0,185,6712.0,14557.0
14,1014,5,78,7,2067,26.0,47.0,0,145,7676.0,13614.0
15,1014,3,70,7,2549,36.0,43.0,0,162,8452.0,15682.0
16,1014,2,53,7,2077,39.0,44.0,0,170,11447.0,20990.0
17,1014,6,53,7,2324,44.0,53.0,0,185,11383.0,21657.0
18,1014,7,29,4,1033,36.0,42.0,0,136,17719.0,36414.0
19,1014,1,28,7,1649,59.0,66.0,0,185,21736.0,33251.0
20,1022,4,25,6,127,5.0,18.0,0,68,24742.0,50888.0
21,1022,5,24,6,74,3.0,15.0,0,74,15485.0,14380.0
22,1022,3,14,3,239,17.0,46.0,0,158,18249.0,31649.0
23,1022,2,7,4,87,12.0,30.0,0,80,87060.0,132597.0
24,1022,1,2,1,35,18.0,25.0,0,35,120.0,-1.0
25,1024,5,34,7,917,27.0,37.0,0,133,15709.0,22621.0
26,1024,4,23,7,545,24.0,31.0,0,138,23853.0,30931.0
27,1024,6,18,7,69,4.0,6.0,0,20,30625.0,38650.0
28,1024,7,18,7,6,0.0,1.0,0,6,31856.0,26796.0
29,1024,3,11,5,461,42.0,36.0,0,125,50658.0,65044.0
30,1024,2,4,2,35,9.0,16.0,0,32,62140.0,107318.0
31,1025,6,10,3,333,33.0,25.0,0,79,47747.0,129120.0
32,1025,1,5,1,93,19.0,13.0,0,34,195.0,150.0
33,1025,2,1,1,26,26.0,0.0,26,26,-1.0,-1.0
34,1025,3,1,1,13,13.0,0.0,13,13,-1.0,-1.0
35,1025,7,1,1,26,26.0,0.0,26,26,-1.0,-1.0
36,1027,2,28,4,1551,55.0,54.0,0,180,21304.0,60512.0
37,1027,3,14,3,611,44.0,40.0,4,129,33042.0,97103.0
38,1027,5,9,2,152,17.0,40.0,0,122,38535.0,97120.0
39,1027,4,6,3,328,55.0,35.0,1,103,81264.0,151292.0
40,1027,7,6,2,226,38.0,41.0,2,116,67932.0,151666.0
41,1027,6,5,1,38,8.0,11.0,0,27,9165.0,17731.0
42,1027,1,3,2,292,97.0,75.0,18,166,47670.0,67246.0
43,1029,1,82,7,2586,32.0,34.0,0,159,6864.0,16883.0
44,1029,2,23,4,948,41.0,51.0,0,188,11520.0,23440.0
45,1029,0,11,5,241,22.0,27.0,0,86,29940.0,29831.0
46,1035,7,25,5,29,1.0,4.0,0,19,12625.0,11753.0
47,1035,5,21,7,372,18.0,38.0,0,166,23487.0,30373.0
48,1035,3,17,5,199,12.0,16.0,0,51,24829.0,28368.0
49,1035,4,13,6,274,21.0,36.0,0,119,47880.0,63509.0
50,1035,1,12,5,337,28.0,25.0,0,67,38667.0,48010.0
51,1035,6,10,2,500,50.0,48.0,0,161,28780.0,83570.0
52,1035,0,8,2,263,33.0,24.0,0,65,10946.0,15071.0
53,1035,2,8,2,187,23.0,27.0,0,79,18386.0,39671.0
54,1036,4,14,6,628,45.0,36.0,0,137,35792.0,56747.0
55,1036,3,13,2,495,38.0,31.0,0,83,8720.0,17373.0
56,1036,5,4,3,192,48.0,67.0,7,148,154340.0,134869.0
57,1036,6,1,1,35,35.0,0.0,35,35,-1.0,-1.0
58,1036,7,1,1,12,12.0,0.0,12,12,-1.0,-1.0
59,1040,2,24,4,852,36.0,42.0,0,154,14301.0,32872.0
60,1040,3,8,2,274,34.0,41.0,0,121,13543.0,35145.0
61,1040,5,7,3,285,41.0,42.0,0,106,56220.0,80899.0
62,1040,4,4,2,272,68.0,61.0,5,152,32820.0,51993.0
63,1045,1,24,2,496,21.0,34.0,0,132,6801.0,9692.0
64,1051,1,16,3,271,17.0,16.0,0,58,18048.0,41183.0
65,1051,2,15,6,357,24.0,16.0,0,47,38606.0,47678.0
66,1051,3,9,3,190,21.0,22.0,0,62,25298.0,34906.0
67,1051,0,5,1,241,48.0,50.0,0,117,4875.0,5456.0
